id,nome,cpf,email,cidade,telefones,endereco,Grupos
1,Mylen Walter De Melo,949.863.285-39,mylen-walter@septem.co.uk,2512507,(35) 4265 - 6243; (52) 16735 - 4324; (81) 6746 - 7308,"Alameda Ernesto Augusto, 1753",1;3;4
2,Tony Crozara Edgar,576.712.645-71,tony-crozara@carlmail.com,2307650,(55) 9987 - 2163; (44) 12726 - 9007,"Travessa Cristo, 849",2;3
3,Dina Walter Racazella,661.889.789-36,dina_walter@carlmail.com,2414001,(97) 1899 - 6672; (66) 28578 - 7217; (11) 9596 - 1680,"Rua do Whisky, 1292 - sala 14",1;2;4
4,Orlando Lucas Melo,628.454.116-41,orlando.lucas@septem.co.uk,2209807,(93) 4986 - 9222; (21) 27595 - 4595; (87) 4334 - 7866,"Rua do Carneiro, 1754",3;4
5,Pamela Oliveira Andrade,179.473.667-46,pamelaoliveira@septem.co.uk,2201507,(21) 9132 - 6147; (58) 17922 - 4743; (47) 6165 - 1595,"Travessa Costa Teles, 672 - Apto 591",3;2
6,Caio Santista Lucas,319.597.883-12,caio-santista@septem.co.uk,2211209,(12) 4128 - 5635; (94) 11441 - 3985; (16) 4214 - 8333,"Rua Easy, 600 - Apto 91",1;2
7,Teresa Walter Trindade,657.697.528-97,teresawalter@hjmail.com.br,2107209,(61) 7521 - 6199; (42) 17284 - 6351; (73) 7565 - 8292,"Alameda Carolina, 523",3;1;4;2
8,Tony Santista De Melo,144.466.269-12,tony-santista@septem.co.uk,2300150,(44) 9697 - 8469; (24) 1413 - 1718,"Alameda Setembro, 813",2;4;1
9,Tony Santos Andrade,618.964.734-33,tonysantos@carlmail.com,1600501,(17) 9984 - 6596; (46) 16398 - 1009; (17) 2714 - 9999,"Rua Yayá, 1887",3;1;2
10,Orlando Sousa Crozara,392.576.969-47,orlando.sousa@septem.co.uk,2500734,(47) 1118 - 3523; (28) 19525 - 4076; (95) 6257 - 8044,"Rua Setembrina, 313 - Apto 454",4;2;3
11,Guilherme Edgar Melo,361.347.463-27,guilherme.edgar@hjmail.com.br,2702355,(98) 7213 - 8262; (29) 13888 - 7473; (31) 3796 - 3152,"Travessa Peas, 1861 - Apto 910",3;1;4
12,Laura Abreu Melo,184.337.749-23,laura.abreu@hjmail.com.br,2206605,(21) 8954 - 3952; (11) 25371 - 2944; (21) 5629 - 7783,"Avenida Estados Desunidos, 1523",2;4;3
13,Natasha Silveira Pires,888.965.724-52,natasha.silveira@carlmail.com,2912509,(61) 9666 - 2112; (22) 14685 - 7098; (77) 1383 - 1781,"Alameda Saracura, 963 - Apartamento 383",2;1
14,Rosa Santista Racazella,898.573.531-31,rosa.santista@septem.co.uk,1101807,(85) 4667 - 2513; (86) 19923 - 7153; (74) 2115 - 9602,"Alameda Peas, 1759",4;3;2
15,Carlos Santista Santista,139.249.542-48,carlos-santista@hjmail.com.br,2100477,(13) 7191 - 2966; (75) 19186 - 6435,"Travessa do Whisky, 1425",2;3
16,Tony Melo Edgar,869.466.855-31,tonymelo@septem.co.uk,2914208,(47) 6334 - 5166; (96) 18552 - 8630; (25) 4592 - 7811,"Travessa Peas, 489 - sala 25",4;1;3
17,Sousa Abreu Crozara,271.835.723-54,sousaabreu@septem.co.uk,1505403,(43) 4616 - 7282; (52) 30316 - 8971; (24) 4651 - 5694,"Travessa Peas, 658",3;4;2
18,Camila Duarte Queiroz,483.215.977-42,camila.duarte@hjmail.com.br,2105963,(21) 5145 - 2713; (24) 9645 - 3655; (15) 3399 - 9024,"Alameda Zimbro, 1779 - Apartamento 197",4;2;3
19,Laura Lucas Oliveira,361.616.497-19,lauralucas@carlmail.com,1200013,(47) 2286 - 2526; (26) 28762 - 5467; (57) 3833 - 5075,"Rua Peas, 1909 - Apartamento 723",4;1;2;3
20,Rafael Silva Lucas,627.911.184-54,rafael.silva@septem.co.uk,2614402,(53) 1923 - 4168; (33) 28586 - 2225; (95) 6443 - 2840,"Avenida Setembrino, 911 - Apto 564",1;2;4;3
21,Otávio Abreu De Melo,916.733.543-14,otávio-abreu@carlmail.com,1600105,(87) 3631 - 6255; (12) 14925 - 1643; (11) 4991 - 5177,"Travessa Lenora, 555",1;4;2
22,Carla Walter Crozara,355.399.911-87,carla.walter@hjmail.com.br,2302008,(94) 9662 - 4778; (35) 26316 - 6559; (18) 5434 - 6363,"Avenida Santos Dumont, 590",4;2
23,Luzia Santos Queiroz,572.571.761-51,luzia-santos@hjmail.com.br,2507408,(42) 5512 - 3797; (31) 13983 - 6350; (63) 9516 - 6243,"Alameda Setembro, 1413",4;2;1;3
24,Igor Sousa Melo,927.849.314-86,igor_sousa@septem.co.uk,2207207,(15) 7533 - 9154; (54) 2855 - 3193; (27) 6772 - 2485,"Travessa Saracura, 1300 - sala 14",2;3
25,Otávio Ramos Pires,355.278.353-68,otávio_ramos@septem.co.uk,2100477,(53) 9581 - 2889; (42) 10668 - 9194; (26) 8485 - 1389,"Avenida Setembrina, 451",1;2;3
26,João Abreu de Sá,867.241.931-42,joão.abreu@carlmail.com,2105609,(54) 4829 - 8867; (83) 10886 - 8497; (34) 1471 - 1162,"Travessa confins, 1582",3;1;2
27,Rafaela Silveira Oliveira,265.867.114-26,rafaelasilveira@septem.co.uk,2201705,(66) 7427 - 5275; (78) 5161 - 9122; (18) 6883 - 8518,"Alameda Ernesto Augusto, 10",4;1;2
28,Rafael de Sá Abreu,627.495.518-21,rafael_de@carlmail.com,1302702,(21) 4168 - 6375; (37) 16186 - 4342; (15) 6455 - 3695,"Alameda serenata, 53",3;4
29,Rosi Sousa Pires,494.749.233-84,rosisousa@carlmail.com,1707405,(73) 5514 - 1895; (64) 11499 - 7279; (88) 8558 - 1962,"Avenida do Whisky, 785 - sala 14",3;4;2
